restaurant,food_type
"Artinci - Indulge Guilt Free!","Ice Cream,Healthy Food,Keto,Desserts,Snacks,Beverages,Bakery"
"Artinci - Indulge Guilt Free!","Ice Cream,Healthy Food,Keto,Desserts,Snacks,Beverages,Bakery"
"Artsy Coffee & Culture","Continental,European,Asian"
"Arul Chettinadu Hotel","Chettinad,Chinese,South Indian,Seafood,Biryani"
"Arun Ice Creams","Ice Cream,Desserts"
"As Bakers","Bakery,Desserts"
"Asha Food Camp","Indian,Beverages,Biryani,Chinese,Desserts,Ice Cream,Juices,Tandoor,North Indian,Street Food,Chaat,South Indian"
"Asha'S Kitchen","Chinese,South Indian"
"Ashapura Fast Food","Fast Food,South Indian"
"Ashapuri Dining Hall","North Indian,Chinese,Rajasthani"
"Ashays Fusion Momo","Chinese,Nepalese"
"Ashirwad Dining Hall","Indian,Chinese"
"Ashirwad Restaurant","Indian,Thalis,North Indian,Punjabi,Chinese,Continental,Snacks,Pizzas"
"Ashish Ii Restaurant","North Indian,Punjabi,Chinese"
"Ashish Restaurant-Katargam","North Indian,Punjabi,Chinese"
"Ashok Vattika","North Indian,Chinese,Tandoor,Beverages,Desserts"
Ashray,"Chinese,North Indian,Continental"
"Ashvita Bistro","Continental,Asian"
"Asia Kitchen By Mainland China","Asian,Chinese,Oriental"
"Asia Kitchen By Mainland China","Asian,Chinese,Oriental"
"Asia Kitchen By Mainland China","Asian,Chinese,Oriental"
"Asia Kitchen By Mainland China","Asian,Chinese,Oriental"
"Asia Kitchen By Mainland China","Asian,Chinese,Oriental"
"Asia Seven","Chinese,Asian,Pan-Asian,Snacks"
"Asian Cloud Kitchen","Chinese,Burmese,Thai"
"Asian Deli","Indian,Chinese"
"Asian Hawker","Chinese,Pan-Asian,Desserts,Beverages"
"Asian Pizzeria","Fast Food,Pizzas,Continental,Beverages,Desserts"
"Asima Briyani","Biryani,Indian,Chinese,North Indian,South Indian,Grill,Barbecue,Tandoor"
"Aso Basi Pasapasi Kichukhan","North Indian,Chinese"
"Asta La Vista Pasta","Pastas,Italian"
"Astoria Restaurant","Biryani,Chinese,Indian"
"Ath - All Things Healthy!","Healthy Food,Indian,Bakery,Snacks,North Indian,Keto"
"Atho Grillz - G A Road","Burmese,Indian,Chinese,Arabian"
"Atho Kadai","Street Food,Burmese,Fast Food"
"Atho Man","Burmese,Indian,Chinese,Arabian"
"Atho Man Ecstasy","Chaat,Chinese,Desserts,Fast Food,Ice Cream,Italian,Snacks"
"Atithi Family Restaurant And Bar","Indian,Chinese,Desserts"
"Atithi Restaurant","Indian,Bengali"
"Atithi Restaurant","North Indian,Punjabi"
"Atoms By Blind Ch3Mistry","Beverages,Continental,Italian"
"Atrangi Food Cafe","Chinese,Continental,Italian,Pastas,Pizzas"
"Ats Arun Dhaba","North Indian,Chinese"
"Atul Bakery","Snacks,Desserts"
"Au Naturel Popsicle","Desserts,Healthy Food,Ice Cream"
Aubree,"Desserts,Bakery"
"Aufside @ Hotfut","North Indian,Continental,American,Fast Food,Chinese,Pizzas,Desserts"
"August 1 Five","Chinese,Continental,Pizzas,Pastas,Beverages"
"Auntie Fungs","Chinese,Thai,Asian"
"Aura Bakers","Bakery,Indian,Chinese,Pastas,Snacks"
"Awadhi Biryani","Chinese,Fast Food,Combo,Biryani,Beverages"
Awesome,"Chinese,Thai"
"Ayans House Of Kebab","Chinese,Indian"
"Ayezas Kitchen","Indian,Hyderabadi"
"Ayyappan Pure Veg","South Indian,Chinese,North Indian,Beverages"
"Azad Hind Dhaba","Indian,North Indian,Chinese,Thalis"
"Azad Sweets & Restaurant","Fast Food,North Indian,Gujarati,Sweets"
"Azuki Japan Travel  Bistro And Sake","Japanese,Desserts,Pan-Asian,Bakery,Snacks"
"Baa Gruh Udhyog  Fast Food Services","Fast Food,Snacks,Sweets"
"Baap No Bagicho","North Indian,Fast Food,Tandoor,Chinese,Beverages"
Baasuri,"North Indian,Chinese,Desserts,Beverages"
"Baati Chokha","North Indian,Indian"
"Baba Biryani","Biryani,Indian,Chinese"
"Baba Chill","North Indian,Chinese,Fast Food"
"Baba Falooda (Kurla)","Ice Cream,Beverages,Desserts"
"Baba G'S Momos","Fast Food,Indian"
"Baba'S Veg Non Veg","North Indian,Chinese"
"Babaji Bites","Chinese,Tandoor"
"Babal Da Punjabi Dabha","North Indian,Punjabi,Indian,Thalis,Kebabs"
"Bablu Best Bakers","Bakery,Desserts"
"Bablu Shree Farali Center","Indian,Snacks"
"Babu Moshai - The Bong Foodie","Bengali,Kebabs,Mughlai,Biryani,North Indian,Fast Food,Beverages,Indian"
Babumosai,"Indian,Chinese,Biryani,Combo"
"Bachan'S Dhaba","North Indian,Chinese"
"Bachchu S Chaat By Phulkaas","Chaat,Snacks"
"Bachelor Burgers","Continental,Italian"
"Backstreet Cafe","Chinese,Fast Food,Pizzas,Snacks"
"Bad Food","Italian,American,Beverages"
"Bada Baksa","North Indian,Chinese,Tandoor,Jain,Biryani,Desserts,Beverages"
Badmaash,"North Indian,Biryani,Indian,Punjabi,Kebabs,Mughlai,Fast Food,Hyderabadi,Desserts,Seafood"
"Badmash Biryani","Biryani,Mughlai"
"Badmash Biryani","Biryani,Mughlai"
"Baguette Salads","Healthy Food,North Indian,Beverages"
"Baha Smoothies & Shakes","Healthy Food,Juices,Beverages,Snacks,Desserts"
"Bahar Biryani Cafe","Biryani,North Indian,Chinese"
"Bait Al Majlis","Chinese,Biryani,Afghani,Mughlai,Seafood,Tandoor"
Baithak,"Continental,Beverages"
"Bake And Beans","Snacks,American,Pizzas,Pastas,Beverages"
"Bake And Grill","Indian,Fast Food"
"Bake India Dumdum","Bakery,Indian"
"Bake Master","Pizzas,American,Italian,Fast Food,Snacks"
"Bake O Cake","Bakery,Continental,Fast Food,Desserts"
"Bake Ur Day","Desserts,Bakery"
"Bake Zone Bakery&Lounge","Desserts,Fast Food"
"Baked By Nini S","Bakery,Desserts"
"Baker'S Cafe","Bakery,Fast Food,Italian"
"Baker'S Valley Cake House","Pizzas,Fast Food"
"Bakers Bunch","Bakery,Fast Food,Snacks"
"Bakers Spring","Bakery,Desserts,Fast Food"
"Bakery By Foodhall","Bakery,Italian,Desserts"
"Bakewell Cake House","Bakery,Fast Food,Pizzas,Sweets"
Bakewills,"Continental,Bakery,Desserts"
Bakingo,"Bakery,Desserts,Beverages,Snacks"
"Bakkings Elite","Bakery,Fast Food,Snacks,Pizzas,Italian-American"
"Bakya Veg Restaurant","South Indian,Chinese,North Indian"
"Balaji Bhaji Pav Dosa","South Indian,Street Food"
"Balaji Dhaba","North Indian,Biryani,Chinese,Indian,Tandoor"
"Balaji Dinesh Mithai Bhandar","Sweets,Snacks"
"Balaji Family Dhaba","Indian,Chinese,Punjabi,Jain"
"Balaji Family Dhaba & Caterers","North Indian,Chinese"
"Balaji Idli House","North Indian,South Indian"
"Balaji Papalal Mithai Wala","Sweets,Desserts"
"Balaji Sandwich Stall","Snacks,Continental"
"Balaji Santosh Dhaba","North Indian,Chinese"
"Balaji Santosh Family Dhaba","North Indian,Tandoor,Chinese"
"Balaji Sitaram Mithai Bhandar","Sweets,Fast Food"
"Balle Balle Dhaba","North Indian,Punjabi,Biryani"
"Ballu Bawarchi","North Indian,Biryani,Mughlai,Tandoor"
"Ballygunge Dhaba","North Indian,Biryani,Chinese"
"Bamboo House","Mughlai,North Indian,Continental"
"Bamboo Kitchen","Chinese,Thai"
"Bamboo Veg House","Indian,Chinese,Sweets"
"Bamey'S Restro Cafe","Chinese,Thai,Nepalese"
"Banana Leaf","South Indian,Biryani,Chinese"
"Banana Leaf @ Komala Vilas","South Indian,Beverages"
"Banani'S Kitchen","Indian,Bengali,Fast Food,Snacks,Home Food,Pastas"
